Timestamp,Milliseconds,Millibars
2021-02-02 10:28:14,1,0.0
2021-02-02 10:28:15,101,0.0
2021-02-02 10:28:15,202,0.0
2021-02-02 10:28:15,301,0.0
2021-02-02 10:28:15,401,0.0
2021-02-02 10:28:15,501,0.0
2021-02-02 10:28:15,601,0.0
2021-02-02 10:28:15,701,0.0
2021-02-02 10:28:15,801,0.0
2021-02-02 10:28:15,902,0.0
2021-02-02 10:28:15,1001,0.0
2021-02-02 10:28:16,1102,0.0
2021-02-02 10:28:16,1202,0.0
2021-02-02 10:28:16,1302,0.0
2021-02-02 10:28:16,1402,0.0
2021-02-02 10:28:16,1501,0.0
2021-02-02 10:28:16,1601,0.0
2021-02-02 10:28:16,1702,0.0
2021-02-02 10:28:16,1801,0.0
2021-02-02 10:28:16,1903,0.0
2021-02-02 10:28:16,2001,0.0
2021-02-02 10:28:17,2101,0.0
2021-02-02 10:28:17,2201,0.0
2021-02-02 10:28:17,2302,0.0
2021-02-02 10:28:17,2401,0.0
2021-02-02 10:28:17,2501,0.0
2021-02-02 10:28:17,2602,0.0
2021-02-02 10:28:17,2701,0.0
2021-02-02 10:28:17,2802,0.0
2021-02-02 10:28:17,2901,0.0
2021-02-02 10:28:17,3002,0.0
2021-02-02 10:28:18,3102,0.0
2021-02-02 10:28:18,3202,0.0
2021-02-02 10:28:18,3301,0.0
2021-02-02 10:28:18,3402,0.0
2021-02-02 10:28:18,3502,0.0
2021-02-02 10:28:18,3601,0.0
2021-02-02 10:28:18,3702,0.0
2021-02-02 10:28:18,3803,0.0
2021-02-02 10:28:18,3901,0.0
2021-02-02 10:28:18,4002,0.0
2021-02-02 10:28:19,4101,0.0
2021-02-02 10:28:19,4202,0.0
2021-02-02 10:28:19,4301,0.0
2021-02-02 10:28:19,4402,0.0
2021-02-02 10:28:19,4502,0.0
2021-02-02 10:28:19,4602,0.0
2021-02-02 10:28:19,4701,0.0
2021-02-02 10:28:19,4802,0.0
2021-02-02 10:28:19,4901,0.0
2021-02-02 10:28:19,5002,0.0
2021-02-02 10:28:20,5102,0.0
2021-02-02 10:28:20,5202,0.0
2021-02-02 10:28:20,5301,0.0
